ydate,cp,upprob,pctg,ydatestr
735706,186.39,0.556969008187818,0.0268254734696128,2014-04-17
735710,187.04,0.535277651557375,0.101582549187338,2014-04-21
735711,187.89,0.537025461086233,-0.0372558411836677,2014-04-22
735712,187.45,0.55847783634814,0.490797546012278,2014-04-23
735713,187.83,0.541499308123947,-0.324761752648679,2014-04-24
735714,186.29,0.598279156992373,0.407966074400139,2014-04-25
735717,186.88,0.551488726710076,0.321061643835613,2014-04-28
735718,187.75,0.554446453798103,-0.165113182423437,2014-04-29
735719,188.31,0.573409643287103,-0.0477935319420123,2014-04-30
735720,188.33,0.578086652447933,-0.0106196569850848,2014-05-01
735721,188.06,0.579942620860581,-0.489205572689576,2014-05-02
735724,188.42,0.60614512063015,-0.222906273219397,2014-05-05
735725,186.78,0.609378261029052,0.3372952136203,2014-05-06
735726,187.88,0.567553540962938,-0.090483287204592,2014-05-07
735727,187.68,0.596926374980666,0.0159846547314584,2014-05-08
735728,187.96,0.56116774981569,0.446903596509898,2014-05-09
735731,189.79,0.52410281335343,0.131724537646873,2014-05-12
735732,189.96,0.538632861518348,-0.0894925247420593,2014-05-13
735733,189.06,0.572946601131572,-0.200994393314289,2014-05-14
735734,187.4,0.608099798191355,0.0586979722518598,2014-05-15
735735,188.05,0.592801155101162,-0.191438447221491,2014-05-16
735738,188.74,0.596673353106995,-0.0476846455441366,2014-05-19
735739,187.55,0.584930957693181,0.287923220474536,2014-05-20
735740,189.13,0.557199079425599,0.0264368423835517,2014-05-21
735741,189.59,0.559829092785406,0.0896671765388404,2014-05-22
735742,190.35,0.540329805932397,0.372997110585767,2014-05-23
735746,191.52,0.533629339025326,0,2014-05-27
735747,191.38,0.558220375093589,0.229909081408714,2014-05-28
735748,192.37,0.548695802143817,-0.0935696834225746,2014-05-29
735749,192.68,0.568604209674119,0.140128710815851,2014-05-30
735752,192.9,0.555977120307555,-0.243649559357179,2014-06-02
735753,192.8,0.585072305606516,-0.171161825726148,2014-06-03
735754,193.19,0.567790781840332,0.113877529892851,2014-06-04
735755,194.45,0.551724101301437,0.215993828747758,2014-06-05
735756,195.38,0.541466204416947,-0.0153546934179553,2014-06-06
